run,arm,seed,step,train_win_rate,difficulty
dbase-s27,dbase,27,2245632,0.26,-1.0
dbase-s27,dbase,27,2276352,0.27,-1.0
dbase-s27,dbase,27,2307072,0.29,-1.0
dbase-s27,dbase,27,2337792,0.3,-1.0
dbase-s27,dbase,27,2368512,0.32,-1.0
dbase-s27,dbase,27,2399232,0.25,-1.0
dbase-s27,dbase,27,2429952,0.26,-1.0
dbase-s27,dbase,27,2460672,0.35,-1.0
dbase-s27,dbase,27,2491392,0.3,-1.0
dbase-s27,dbase,27,2522112,0.23,-1.0
dbase-s27,dbase,27,2552832,0.27,-1.0
dbase-s27,dbase,27,2583552,0.32,-1.0
dbase-s27,dbase,27,2614272,0.37,-1.0
dbase-s27,dbase,27,2644992,0.27,-1.0
dbase-s27,dbase,27,2675712,0.36,-1.0
dbase-s27,dbase,27,2706432,0.27,-1.0
dbase-s27,dbase,27,2737152,0.33,-1.0
dbase-s27,dbase,27,2767872,0.35,-1.0
dbase-s27,dbase,27,2798592,0.38,-1.0
dbase-s27,dbase,27,2829312,0.31,-1.0
dbase-s27,dbase,27,2860032,0.31,-1.0
dbase-s27,dbase,27,2890752,0.32,-1.0
dbase-s27,dbase,27,2921472,0.39,-1.0
dbase-s27,dbase,27,2952192,0.47,-1.0
dbase-s27,dbase,27,2982912,0.39,-1.0
dbase-s27,dbase,27,3013632,0.29,-1.0
dbase-s27,dbase,27,3044352,0.41,-1.0
dbase-s27,dbase,27,3075072,0.54,-1.0
dbase-s27,dbase,27,3105792,0.34,-1.0
dbase-s27,dbase,27,3136512,0.39,-1.0
dbase-s27,dbase,27,3167232,0.32,-1.0
dbase-s27,dbase,27,3197952,0.38,-1.0
dbase-s27,dbase,27,3228672,0.45,-1.0
dbase-s27,dbase,27,3259392,0.47,-1.0
dbase-s27,dbase,27,3290112,0.43,-1.0
dbase-s27,dbase,27,3320832,0.44,-1.0
dbase-s27,dbase,27,3351552,0.43,-1.0
dbase-s27,dbase,27,3382272,0.53,-1.0
dbase-s27,dbase,27,3412992,0.47,-1.0
dbase-s27,dbase,27,3443712,0.43,-1.0
dbase-s27,dbase,27,3474432,0.47,-1.0
dbase-s27,dbase,27,3505152,0.46,-1.0
dbase-s27,dbase,27,3535872,0.45,-1.0
dbase-s27,dbase,27,3566592,0.5,-1.0
dbase-s27,dbase,27,3597312,0.45,-1.0
dbase-s27,dbase,27,3628032,0.51,-1.0
dbase-s27,dbase,27,3658752,0.63,-1.0
dbase-s27,dbase,27,3689472,0.51,-1.0
dbase-s27,dbase,27,3720192,0.55,-1.0
dbase-s27,dbase,27,3750912,0.63,-1.0
dbase-s27,dbase,27,3781632,0.51,-1.0
dbase-s27,dbase,27,3812352,0.55,-1.0
dbase-s27,dbase,27,3843072,0.63,-1.0
dbase-s27,dbase,27,3873792,0.54,-1.0
dbase-s27,dbase,27,3904512,0.57,-1.0
dbase-s27,dbase,27,3935232,0.53,-1.0
