run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
director-on-s31,director-on,31,2491392,0.21,,-1.0,,,,,,,
director-on-s31,director-on,31,2522112,0.24,,-1.0,,,,,,,
director-on-s31,director-on,31,2552832,0.27,,-1.0,,,,,,,
director-on-s31,director-on,31,2583552,0.3,,-1.0,,,,,,,
director-on-s31,director-on,31,2614272,0.25,,-1.0,,,,,,,
director-on-s31,director-on,31,2644992,0.33,,-1.0,,,,,,,
director-on-s31,director-on,31,2675712,0.21,,-1.0,,,,,,,
director-on-s31,director-on,31,2706432,0.29,,-1.0,,,,,,,
director-on-s31,director-on,31,2737152,0.33,,-1.0,,,,,,,
director-on-s31,director-on,31,2767872,0.27,,-1.0,,,,,,,
director-on-s31,director-on,31,2798592,0.32,,-1.0,,,,,,,
director-on-s31,director-on,31,2829312,0.32,,-1.0,,,,,,,
director-on-s31,director-on,31,2860032,0.26,,-1.0,,,,,,,
director-on-s31,director-on,31,2890752,0.34,,-1.0,,,,,,,
director-on-s31,director-on,31,2921472,0.31,,-1.0,,,,,,,
director-on-s31,director-on,31,2952192,0.29,,-1.0,,,,,,,
director-on-s31,director-on,31,2982912,0.37,,-1.0,,,,,,,
director-on-s31,director-on,31,3013632,0.35,,-1.0,,,,,,,
director-on-s31,director-on,31,3044352,0.28,,-1.0,,,,,,,
director-on-s31,director-on,31,3075072,0.36,,-1.0,,,,,,,
director-on-s31,director-on,31,3105792,0.35,,-1.0,,,,,,,
director-on-s31,director-on,31,3136512,0.4,,-1.0,,,,,,,
director-on-s31,director-on,31,3167232,0.42,,-1.0,,,,,,,
director-on-s31,director-on,31,3197952,0.4,,-1.0,,,,,,,
director-on-s31,director-on,31,3228672,0.26,,-1.0,,,,,,,
director-on-s31,director-on,31,3259392,0.46,,-1.0,,,,,,,
director-on-s31,director-on,31,3290112,0.32,,-1.0,,,,,,,
director-on-s31,director-on,31,3320832,0.35,,-1.0,,,,,,,
director-on-s31,director-on,31,3351552,0.38,,-1.0,,,,,,,
director-on-s31,director-on,31,3382272,0.4,,-1.0,,,,,,,
director-on-s31,director-on,31,3412992,0.43,,-1.0,,,,,,,
director-on-s31,director-on,31,3443712,0.39,,-1.0,,,,,,,
director-on-s31,director-on,31,3474432,0.33,,-1.0,,,,,,,
director-on-s31,director-on,31,3505152,0.37,,-1.0,,,,,,,
director-on-s31,director-on,31,3535872,0.38,,-1.0,,,,,,,
director-on-s31,director-on,31,3566592,0.47,,-1.0,,,,,,,
director-on-s31,director-on,31,3597312,0.39,,-1.0,,,,,,,
director-on-s31,director-on,31,3628032,0.42,,-1.0,,,,,,,
director-on-s31,director-on,31,3658752,0.44,,-1.0,,,,,,,
director-on-s31,director-on,31,3689472,0.42,,-1.0,,,,,,,
director-on-s31,director-on,31,3720192,0.44,,-1.0,,,,,,,
director-on-s31,director-on,31,3750912,0.44,,-1.0,,,,,,,
director-on-s31,director-on,31,3781632,0.46,,-1.0,,,,,,,
director-on-s31,director-on,31,3812352,0.45,,-0.987,,,,,,,
director-on-s31,director-on,31,3843072,0.41,,-1.0,,,,,,,
director-on-s31,director-on,31,3873792,0.5,,-1.0,,,,,,,
director-on-s31,director-on,31,3904512,0.49,,-1.0,,,,,,,
director-on-s31,director-on,31,3935232,0.46,,-1.0,,,,,,,
director-on-s31,director-on,31,3965952,0.49,,-1.0,,,,,,,
director-on-s31,director-on,31,3996672,0.5,,-1.0,,,,,,,
director-on-s31,director-on,31,4027392,0.55,,-0.989,,,,,,,
director-on-s31,director-on,31,4058112,0.44,,-0.989,,,,,,,
director-on-s31,director-on,31,4088832,0.5,,-0.989,,,,,,,
director-on-s31,director-on,31,4119552,0.58,,-0.989,,,,,,,
director-on-s31,director-on,31,4150272,0.59,,-0.974,,,,,,,
director-on-s31,director-on,31,4180992,0.49,,-0.974,,,,,,,
director-on-s31,director-on,31,4211712,0.53,,-0.961,,,,,,,
director-on-s31,director-on,31,4242432,0.53,,-0.936,,,,,,,
director-on-s31,director-on,31,4273152,0.62,,-0.936,,,,,,,
director-on-s31,director-on,31,4303872,0.56,,-0.902,,,,,,,
director-on-s31,director-on,31,4334592,0.61,,-0.889,,,,,,,
director-on-s31,director-on,31,4365312,0.63,,-0.878,,,,,,,
director-on-s31,director-on,31,4396032,0.59,,-0.851,,,,,,,
director-on-s31,director-on,31,4426752,0.59,,-0.851,,,,,,,
director-on-s31,director-on,31,4457472,0.63,,-0.809,,,,,,,
director-on-s31,director-on,31,4488192,0.5,,-0.785,,,,,,,
director-on-s31,director-on,31,4518912,0.48,,-0.785,,,,,,,
director-on-s31,director-on,31,4549632,0.55,,-0.785,,,,,,,
director-on-s31,director-on,31,4580352,0.68,,-0.785,,,,,,,
director-on-s31,director-on,31,4611072,0.5,,-0.767,,,,,,,
director-on-s31,director-on,31,4641792,0.57,,-0.74,,,,,,,
director-on-s31,director-on,31,4672512,0.57,,-0.74,,,,,,,
