run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w10s-obj-cur-s41,w10s-obj-cur,41,1354752,0.15,0.676,-1.0,-0.7338,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,1385472,0.09,0.61,-1.0,-0.4597,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,1416192,0.08,0.618,-1.0,-0.7072,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,1446912,0.11,0.661,-1.0,-0.6553,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,1477632,0.09,0.619,-1.0,-0.5914,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,1508352,0.07,0.618,-1.0,-0.5557,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,1539072,0.07,0.62,-1.0,-0.7066,0.0,0.0,0.0,0.0,1.0,0.948
w10s-obj-cur-s41,w10s-obj-cur,41,1569792,0.16,0.665,-1.0,-0.6635,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,1600512,0.11,0.695,-1.0,-0.7948,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,1631232,0.13,0.64,-1.0,-0.6608,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,1661952,0.12,0.686,-1.0,-0.5652,0.0,0.0,0.0,0.0,1.0,0.949
w10s-obj-cur-s41,w10s-obj-cur,41,1692672,0.15,0.645,-1.0,-0.6258,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1723392,0.1,0.66,-1.0,-0.6102,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1754112,0.1,0.648,-1.0,-0.7648,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1784832,0.11,0.641,-1.0,-0.6198,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1815552,0.15,0.688,-1.0,-0.7417,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1846272,0.05,0.588,-1.0,-0.785,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1876992,0.11,0.691,-1.0,-0.6893,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1907712,0.13,0.657,-1.0,-0.6566,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1938432,0.14,0.648,-1.0,-0.7547,0.0,0.0,0.0,0.0,1.0,0.95
w10s-obj-cur-s41,w10s-obj-cur,41,1969152,0.21,0.697,-1.0,-0.6645,0.0,0.0,0.0,0.0,1.0,0.95
