run,arm,seed,step,train_win_rate,difficulty
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,3072,0.01,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,33792,0.01,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,64512,0.04,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,95232,0.02,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,125952,0.02,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,156672,0.01,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,187392,0.01,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,218112,0.02,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,248832,0.03,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,279552,0.04,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,310272,0.01,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,340992,0.03,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,371712,0.05,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,402432,0.03,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,433152,0.04,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,463872,0.06,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,494592,0.03,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,525312,0.05,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,556032,0.06,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,586752,0.02,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,617472,0.05,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,648192,0.03,-1.0
sw1-lr1e4-ent0003-on,sw1-lr1e4-ent0003-on,27,678912,0.02,-1.0
