run,arm,seed,step,train_win_rate,difficulty
sw2-alpha0,sw2-alpha0,27,2583552,0.45,-1.0
sw2-alpha0,sw2-alpha0,27,2614272,0.5,-1.0
sw2-alpha0,sw2-alpha0,27,2644992,0.46,-1.0
sw2-alpha0,sw2-alpha0,27,2675712,0.51,-1.0
sw2-alpha0,sw2-alpha0,27,2706432,0.4,-1.0
sw2-alpha0,sw2-alpha0,27,2737152,0.54,-1.0
sw2-alpha0,sw2-alpha0,27,2767872,0.43,-1.0
sw2-alpha0,sw2-alpha0,27,2798592,0.54,-0.986
sw2-alpha0,sw2-alpha0,27,2829312,0.5,-0.997
sw2-alpha0,sw2-alpha0,27,2860032,0.41,-1.0
sw2-alpha0,sw2-alpha0,27,2890752,0.56,-1.0
sw2-alpha0,sw2-alpha0,27,2921472,0.5,-1.0
sw2-alpha0,sw2-alpha0,27,2952192,0.51,-1.0
sw2-alpha0,sw2-alpha0,27,2982912,0.46,-1.0
sw2-alpha0,sw2-alpha0,27,2998272,0.45,-1.0
sw2-zeta03,sw2-zeta03,27,3072,0.0,-1.0
sw2-zeta03,sw2-zeta03,27,33792,0.02,-1.0
sw2-zeta03,sw2-zeta03,27,64512,0.03,-1.0
sw2-zeta03,sw2-zeta03,27,95232,0.04,-1.0
sw2-zeta03,sw2-zeta03,27,125952,0.02,-1.0
sw2-zeta03,sw2-zeta03,27,156672,0.04,-1.0
sw2-zeta03,sw2-zeta03,27,187392,0.05,-1.0
sw2-zeta03,sw2-zeta03,27,218112,0.05,-1.0
sw2-zeta03,sw2-zeta03,27,248832,0.05,-1.0
sw2-zeta03,sw2-zeta03,27,279552,0.06,-1.0
sw2-zeta03,sw2-zeta03,27,310272,0.12,-1.0
sw2-zeta03,sw2-zeta03,27,340992,0.05,-1.0
sw2-zeta03,sw2-zeta03,27,371712,0.02,-1.0
sw2-zeta03,sw2-zeta03,27,402432,0.09,-1.0
sw2-zeta03,sw2-zeta03,27,433152,0.03,-1.0
sw2-zeta03,sw2-zeta03,27,463872,0.09,-1.0
sw2-zeta03,sw2-zeta03,27,494592,0.05,-1.0
